method,dte_bucket,n_samples,p95_hit_rate,p97_hit_rate,p98_hit_rate,p99_hit_rate,p95_avg_width,p97_avg_width,p98_avg_width,p99_avg_width,avg_midpoint_error,median_midpoint_error
baseline,1DTE,90,97.77777777777777,100.0,100.0,100.0,5.398656698783644,6.31337177251543,6.767329692542146,8.832784068356514,0.9564669667211648,0.9330654992738001
baseline,2DTE,90,98.88888888888889,100.0,100.0,100.0,7.544456431105319,9.06917423675495,9.803815002636394,12.523518790401269,1.1200247463637603,0.9843458007326642
baseline,3DTE,90,100.0,100.0,100.0,100.0,10.017979313229517,11.811717422136558,13.911607509287453,18.813584407861104,1.2910513150215381,1.1023127794540757
baseline,5DTE,90,100.0,100.0,100.0,100.0,11.779306051111138,13.900271853131185,15.891431111339108,18.507167428939542,1.6217153125944492,1.3665095780203007
baseline,7DTE,90,100.0,100.0,100.0,100.0,14.178796923357691,15.594122878425823,18.108098224947213,20.070307438562185,1.8628506535841116,1.6900453339241903
baseline,10DTE,90,100.0,100.0,100.0,100.0,16.21991880631217,17.61565652362874,19.71845246176311,23.135078979723357,1.941640847872686,1.5315480389577347
baseline,1-3DTE,270,98.88888888888889,100.0,100.0,100.0,7.653697481039493,9.064754477135645,10.160917401488664,13.389962422206295,1.1225143427021544,0.9627937318513058
baseline,4-7DTE,360,100.0,100.0,100.0,100.0,12.65195376252047,13.99359641901239,16.318667351944143,19.092806598172807,1.6919047037426156,1.3970512478890784
baseline,8-14DTE,630,100.0,100.0,100.0,100.0,17.559275406618767,19.14943842414414,21.24967913979188,23.741493417780532,1.9722244764425911,1.4825163820609357
baseline,15-20DTE,540,100.0,100.0,100.0,100.0,23.888627277530688,26.48304075921017,27.884393379219976,29.390775892747552,2.2374332731001765,1.8420445127121172
conditional,1DTE,90,90.0,94.44444444444444,96.66666666666667,97.77777777777777,3.586452248439042,4.1369485240158,4.481899297599116,5.364034015662527,0.8840629106404543,0.7388219455616032
conditional,2DTE,90,94.44444444444444,95.55555555555556,96.66666666666667,96.66666666666667,4.812269195597212,5.506165814554384,5.986576747338213,6.721587273505331,1.2295051498276253,1.2054777309613756
conditional,3DTE,90,91.11111111111111,93.33333333333333,94.44444444444444,95.55555555555556,5.990658114494611,6.686423735369292,7.367282176194717,8.870751390291392,1.472935689126573,1.3897662861686244
conditional,5DTE,90,90.0,95.55555555555556,96.66666666666667,97.77777777777777,7.3575060933232885,8.47589834038698,9.285364640993002,10.335954185043592,1.8538710093936686,1.6215881095873828
conditional,7DTE,90,92.22222222222223,97.77777777777777,98.88888888888889,98.88888888888889,8.364887636363019,10.402569625999806,11.963485328285067,13.528220550717505,2.1695652837294976,1.916129401966829
conditional,10DTE,90,96.66666666666667,96.66666666666667,97.77777777777777,97.77777777777777,10.365131679053217,12.155326213824717,13.221953533975013,15.411327964352207,2.3959806481024586,2.3367190482340647
conditional,1-3DTE,270,91.85185185185185,94.44444444444444,95.92592592592592,96.66666666666667,4.796459852843622,5.443179357979825,5.94525274037735,6.985457559819748,1.1955012498648843,1.088500333291474
conditional,4-7DTE,360,90.27777777777779,95.27777777777777,97.22222222222221,98.61111111111111,7.574590390464261,9.00666577612583,9.96942227362852,11.276566357386766,1.9579569219730988,1.7641466073883811
conditional,8-14DTE,630,96.5079365079365,97.93650793650794,98.25396825396825,98.57142857142858,10.917035525462051,12.865166111724275,14.12882459733715,15.768818043674967,2.56077908426667,2.335124640864088
conditional,15-20DTE,540,98.88888888888889,99.44444444444444,99.44444444444444,99.44444444444444,15.290158385328326,16.747646818318696,17.45101916544403,18.339974083242634,3.147593061671854,2.9924873581621436
ensemble,1DTE,90,100.0,100.0,100.0,100.0,8.355522369161356,9.231015533875704,9.864437402484828,10.858235784368665,0.886979940531674,0.7272344656270677
ensemble,2DTE,90,100.0,100.0,100.0,100.0,8.555769023809592,9.483699242776972,10.135182118653036,11.137973045191787,1.1815682053606082,0.9828722549202678
ensemble,3DTE,90,98.88888888888889,98.88888888888889,98.88888888888889,100.0,8.79366577007807,9.71209716457929,10.390145531338394,11.47315777796787,1.4076723913038065,1.0527785663211924
ensemble,5DTE,90,94.44444444444444,95.55555555555556,97.77777777777777,98.88888888888889,9.22175614661115,10.189682400181104,10.93588445133443,11.968702220504516,1.8101594216820533,1.4365064661926725
ensemble,7DTE,90,94.44444444444444,96.66666666666667,98.88888888888889,98.88888888888889,9.92804923387659,10.997989834703427,11.766457742488113,12.950703280203502,2.063448110848676,1.7833160729168434
ensemble,10DTE,90,90.0,90.0,91.11111111111111,97.77777777777777,9.456945712448695,10.470901849386207,11.224916647192513,12.354102255579669,2.3141975676535873,1.9479665110824413
ensemble,1-3DTE,270,99.62962962962963,99.62962962962963,99.62962962962963,100.0,8.568319054349672,9.475603980410654,10.129921684158754,11.156455535842772,1.1587401790653629,0.8819346626560549
ensemble,4-7DTE,360,95.27777777777777,96.66666666666667,98.61111111111111,99.16666666666667,9.418850396738804,10.408209880842161,11.12926314707464,12.229749898088954,1.901557939528159,1.6246434649139476
ensemble,8-14DTE,630,88.57142857142857,91.26984126984127,93.01587301587301,95.3968253968254,9.363120765659646,10.351244517333123,11.084920719102406,12.208054071470983,2.336701294501368,1.9569565411017762
ensemble,15-20DTE,540,93.33333333333333,95.92592592592592,97.5925925925926,98.51851851851852,10.830414632974405,11.965272123612282,12.79228271426264,14.070909313949356,2.3351426433617117,2.029448141962659
ensemble_combined,1DTE,90,100.0,100.0,100.0,100.0,8.355522369161356,9.231015533875704,9.864437402484828,11.042598637526202,0.9002809015418805,0.752251966367868
ensemble_combined,2DTE,90,100.0,100.0,100.0,100.0,8.607850047694106,9.605789078830517,10.3332920572481,11.346812332115464,1.1805833483206354,0.9828722549202678
ensemble_combined,3DTE,90,100.0,100.0,100.0,100.0,9.159019983048665,10.14773881668652,10.878737318626495,12.380348725159342,1.4236095096472128,1.1127878739121444
ensemble_combined,5DTE,90,96.66666666666667,97.77777777777777,98.88888888888889,100.0,9.713394834614993,10.788834635388827,11.606168212492822,12.838396199014056,1.843576916093096,1.5737766304406038
ensemble_combined,7DTE,90,97.77777777777777,100.0,100.0,100.0,10.308179637133646,11.484945201929968,12.744931819593333,14.57477897820711,1.9781265309395695,1.6446483966435423
ensemble_combined,10DTE,90,100.0,100.0,100.0,100.0,10.626407230090686,12.166830023959589,13.221953533975013,15.416055272158594,2.1039572685368424,1.905285852359388
ensemble_combined,1-3DTE,270,100.0,100.0,100.0,100.0,8.707464133301377,9.661514476464246,10.358822259453142,11.589919898267002,1.1681579198365764,0.9002349279058255
ensemble_combined,4-7DTE,360,97.5,98.88888888888889,99.44444444444444,100.0,9.90336461937693,11.025969020172273,11.914169761312865,13.364637504561662,1.9125155843642725,1.64946926829468
ensemble_combined,8-14DTE,630,97.77777777777777,99.04761904761905,99.36507936507937,99.36507936507937,11.217034544252394,12.907573745619928,14.151422973352952,15.839163314491291,2.2391414763243263,1.9033177853435825
ensemble_combined,15-20DTE,540,100.0,100.0,100.0,100.0,15.290158385328326,16.747646818318696,17.45101916544403,18.342672148459286,2.443126209689137,2.1004542235050607
