config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi,consistency_pct,avg_spreads_per_day,risk_score
DTE1_p99_w20_neutral,1,99,20,neutral,29,21,84957,9.645021599161929,10.354978400838071,527.5234225522737,72.41379310344827,4045.5714285714284,3.9556108910342136
DTE1_p99_w30_neutral,1,99,30,neutral,29,22,99742,13.68379569288765,16.31620430711235,435.6287576810989,75.86206896551724,4533.727272727273,3.442510060039554
DTE0_p98_w20_neutral,0,98,20,neutral,29,25,55990,8.133741739596356,11.866258260403644,355.20185456789534,86.20689655172413,2239.6,3.133727172984604
DTE0_p97_w20_neutral,0,97,20,neutral,29,25,62941,8.176619532578128,11.823380467421874,346.026476362517,86.20689655172413,2517.64,3.061442892002229
DTE1_p100_w20_neutral,1,100,20,neutral,29,18,26878,9.174481360220256,10.825518639779744,462.6059912117694,62.06896551724138,1493.2222222222222,2.903597110009882
DTE1_p95_w15_neutral,1,95,15,neutral,29,12,1256,7.971035031847133,7.028964968152867,692.3233764649178,41.37931034482759,104.66666666666667,2.8662899538576574
DTE1_p97_w15_neutral,1,97,15,neutral,29,12,817,8.169804161566708,6.830195838433293,618.8394140526046,41.37931034482759,68.08333333333333,2.5615890445476084
DTE1_p100_w50_neutral,1,100,50,neutral,29,23,53179,19.294995957050716,30.705004042949284,314.4414176944681,79.3103448275862,2312.1304347826085,2.549263756256157
DTE0_p99_w20_neutral,0,99,20,neutral,29,20,28658,8.17567799567311,11.824322004326891,355.0530448586095,68.96551724137932,1432.9,2.4779649620048216
DTE1_p98_w15_neutral,1,98,15,neutral,29,11,515,7.958349514563107,7.041650485436894,626.8078582457741,37.93103448275862,46.81818181818182,2.378058704057233
DTE0_p99_w30_neutral,0,99,30,neutral,29,18,39377,12.180382202808747,17.819617797191253,375.7636491371717,62.06896551724138,2187.6111111111113,2.37070329306623
DTE1_p100_w30_neutral,1,100,30,neutral,29,17,27581,13.17324208694391,16.82675791305609,397.94511919510023,58.620689655172406,1622.4117647058824,2.359667686835648
DTE1_p96_w15_neutral,1,96,15,neutral,29,12,1025,7.863287804878048,7.136712195121952,531.900701978283,41.37931034482759,85.41666666666667,2.2019111339197113
DTE3_p95_w50_neutral,3,95,50,neutral,25,19,3782,19.83723162347964,30.16276837652036,274.2420039678382,76.0,199.05263157894737,2.087533130241337
DTE3_p96_w50_neutral,3,96,50,neutral,25,19,3263,18.90335580753908,31.09664419246093,262.75691926847816,76.0,171.73684210526315,1.9996754517464967
DTE5_p96_w50_neutral,5,96,50,neutral,23,17,884,21.082432126696837,28.917567873303163,247.2935500293989,73.91304347826086,52.0,1.828497083805465
DTE1_p100_w15_neutral,1,100,15,neutral,29,5,61,8.678196721311476,6.321803278688525,1021.1695691138556,17.24137931034483,12.2,1.7606820669067536
DTE5_p95_w50_neutral,5,95,50,neutral,23,17,1205,20.501734439834024,29.49826556016598,231.72737263752833,73.91304347826086,70.88235294117646,1.7136299727354702
DTE5_p97_w50_neutral,5,97,50,neutral,23,16,737,20.653066485753055,29.346933514246945,238.2755311173988,69.56521739130434,46.0625,1.6580793940958867
DTE5_p95_w20_neutral,5,95,20,neutral,23,4,32,10.8265625,9.1734375,908.344688767418,17.391304347826086,8.0,1.5797510174106377
