config,dte,percentile,spread_width,flow_mode,days_processed,days_with_spreads,total_spreads,avg_credit,avg_max_loss,avg_roi,rank,expected_daily_profit
DTE1_p99_w20_with_flow,1,99,20,with_flow,29,29,366381,4.92108384441333,1678.828257742623,122.54424171943393,1,25991666.45561509
DTE1_p100_w20_with_flow,1,100,20,with_flow,29,29,152463,4.181494264182129,1807.5193541383808,81.76573754114114,2,7769995.69060834
DTE1_p99_w30_with_flow,1,99,30,with_flow,29,29,598053,6.037607101711721,2734.0869820066114,72.86285290133152,3,41082813.14050668
DTE1_p100_w30_with_flow,1,100,30,with_flow,29,29,269757,5.072095330241662,3045.264426168737,40.886674755283885,4,11581945.740689687
DTE1_p100_w50_with_flow,1,100,50,with_flow,29,29,488938,6.695497670461286,4972.804110971125,34.35468572289801,5,28803358.215535257
DTE0_p99_w20_with_flow,0,99,20,with_flow,29,29,582097,2.8474419211918285,2127.186670640804,17.6781046895008,6,7548117.768193275
DTE0_p99_w30_with_flow,0,99,30,with_flow,29,29,921923,3.133396031989656,3148.173857350342,16.201595269965058,7,16214857.600257738
DTE0_p98_w20_with_flow,0,98,20,with_flow,29,29,1297387,3.6990759734759178,2124.0207461613227,15.596778665449706,8,14820580.255882876
DTE3_p95_w50_with_flow,3,95,50,with_flow,25,25,67359,7.15443088525661,5868.933410383172,15.566132456505446,9,2121961.680043543
DTE3_p96_w50_with_flow,3,96,50,with_flow,25,25,57924,6.9720407775706095,5958.226026344866,14.962961537269928,10,1780717.7214851242
DTE0_p97_w20_with_flow,0,97,20,with_flow,29,29,1489393,3.9390003981487767,2114.045570504226,14.910835096960753,11,16189283.282328615
DTE0_p100_w20_with_flow,0,100,20,with_flow,29,29,171175,2.0708778151015044,2205.728419979553,11.086811694141518,12,1443447.686655824
DTE5_p95_w50_with_flow,5,95,50,with_flow,23,23,27440,6.944387026239068,6266.74950473761,10.324932012236426,13,612231.4638048914
DTE3_p97_w50_with_flow,3,97,50,with_flow,25,25,50460,6.769012286959968,6024.20806202933,10.071880371195098,14,1055746.7910159035
DTE3_p98_w50_with_flow,3,98,50,with_flow,25,25,44181,6.800725424956429,6164.080265272401,9.867774605689135,15,926669.8857938154
DTE5_p96_w50_with_flow,5,96,50,with_flow,23,23,23912,6.932989712278354,6374.167160003345,9.291893433298885,16,488366.17111340363
DTE5_p95_w20_with_flow,5,95,20,with_flow,23,14,3231,2.46909316001238,2258.487944908697,9.15772386514766,17,23043.279146442463
DTE5_p97_w50_with_flow,5,97,50,with_flow,23,23,21778,6.816702635687392,6450.929593626595,8.211094130453278,18,397780.3525797089
DTE3_p95_w25_with_flow,3,95,25,with_flow,25,25,29745,5.279361573373675,3511.0881375021013,6.741585571511409,19,242783.83001896832
DTE5_p98_w50_with_flow,5,98,50,with_flow,23,23,19087,6.775129145491696,6591.387188662441,6.636116586752675,20,287892.6030346912
DTE3_p96_w25_with_flow,3,96,25,with_flow,25,25,25649,5.201274513626262,3578.798660376623,5.6195739942366325,21,177874.25733146607
DTE5_p99_w50_with_flow,5,99,50,with_flow,23,23,15224,5.689756962690487,6836.945360614819,5.311217125412387,22,190628.11019306534
DTE3_p97_w25_with_flow,3,97,25,with_flow,25,25,22427,5.064343871226646,3642.001200784768,5.1735126213202,23,145713.1620586892
