dte,band,spread_type,flow_mode,spread_width,entry_time_pst,entry_time_et,time_bucket,expected_win_pct,expected_roi_pct,sharpe,expected_credit,max_risk_per_contract,avg_pnl,n_trades,trade_score
3,P98,iron_condor,with_flow,10,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,393.65,0.496,21575.71,5480.97,802.49,58,160.86948913878385
3,P98,iron_condor,with_flow,5,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.4,393.37,0.492,21560.45,5480.97,794.86,58,160.76748913878384
3,P98,iron_condor,with_flow,25,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),92.7,338.36,0.512,22545.05,6662.98,637.14,55,147.30765991793464
3,P97,iron_condor,with_flow,10,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.9,335.62,0.411,22269.78,6635.49,1282.66,59,147.14709541721862
3,P97,iron_condor,with_flow,5,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.9,335.3,0.409,22258.39,6638.41,1276.97,59,147.04976962405155
3,P98,iron_condor,with_flow,30,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.1,327.6,0.537,21818.4,6659.98,823.91,58,145.05901202105713
3,P97,iron_condor,with_flow,20,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,314.63,0.359,21272.72,6761.08,1074.52,61,140.527607284635
3,P97,iron_condor,with_flow,15,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,314.56,0.358,21267.87,6761.08,1072.09,61,140.502107284635
3,P98,iron_condor,with_flow,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,303.98,0.493,22106.19,7272.25,783.24,57,139.50918048059404
3,P98,iron_condor,with_flow,35,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.8,302.67,0.499,21759.95,7189.36,787.18,58,139.32138879121368
3,P98,iron_condor,with_flow,45,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.6,296.35,0.495,22524.23,7600.55,773.46,56,137.43888851793622
3,P97,iron_condor,with_flow,25,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.4,302.11,0.351,21291.08,7047.43,1060.97,61,137.21341396296236
3,P98,iron_condor,with_flow,50,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.6,293.98,0.494,22544.5,7668.68,783.59,56,136.81501076586844
3,P97,iron_condor,with_flow,30,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),96.6,290.43,0.378,22433.62,7724.16,1202.53,58,136.18077831634767
3,P97,iron_condor,with_flow,35,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,283.65,0.328,22827.12,8047.68,1107.45,57,132.8416882778639
3,P97,iron_condor,with_flow,40,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.8,282.64,0.35,22661.79,8017.93,1202.47,58,132.8344094049212
3,P97,iron_condor,with_flow,45,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.0,275.36,0.346,21921.78,7961.13,1170.14,60,131.12020618178576
3,P97,iron_condor,with_flow,50,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),95.0,275.06,0.346,21920.97,7969.53,1169.7,60,131.04255828009934
3,P98,iron_condor,with_flow,55,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,221.47,0.466,22580.33,10195.63,844.6,57,117.87712473530328
3,P98,iron_condor,with_flow,60,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),94.7,220.27,0.46,22560.12,10242.16,834.49,57,117.52021309958056
