rank,max_short_delta,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,0.12,1376,83.79,1887694.0,965647.22,692612.01,273035.21,1.3942,4.67
2,0.11,1366,84.63,1838537.0,942166.4,672110.78,270055.62,1.4018,4.64
3,0.1,1355,84.94,1789413.0,922371.75,657746.54,264625.21,1.4023,4.57
4,0.09,1343,85.63,1705961.0,894521.71,636842.41,257679.3,1.4046,4.5
5,0.13,1385,83.32,1923801.0,978046.06,723565.85,254480.21,1.3517,4.32
6,0.15,1402,83.02,1980535.0,1007364.93,760861.53,246503.4,1.324,4.14
7,0.14,1393,83.2,1953254.0,990956.06,744554.73,246401.33,1.3309,4.16
8,0.2,1434,81.94,2125203.0,1082595.75,838520.38,244075.37,1.2911,4.02
9,0.08,1336,86.38,1644645.0,858263.21,619288.64,238974.57,1.3859,4.18
10,0.16,1408,82.81,2019193.0,1026164.82,789797.04,236367.78,1.2993,3.96
11,0.07,1319,86.81,1569570.0,831337.36,596063.43,235273.93,1.3947,4.17
12,0.19,1427,82.13,2102169.0,1070324.75,835231.01,235093.73,1.2815,3.89
13,0.17,1417,82.78,2051402.0,1039064.76,803995.18,235069.58,1.2924,3.91
14,0.18,1423,82.57,2076477.0,1054824.69,822427.64,232397.05,1.2826,3.85
15,0.06,1288,87.19,1472402.0,796606.73,568741.53,227865.21,1.4006,4.14
16,0.05,1255,87.33,1352814.0,725410.04,541650.71,183759.33,1.3393,3.44
17,0.01,981,92.25,602614.0,342045.57,219981.47,122064.1,1.5549,2.89
18,0.04,1220,87.3,1197710.0,619360.53,516702.82,102657.71,1.1987,1.99
19,0.02,1090,88.99,853942.0,448108.92,347564.35,100544.57,1.2893,2.17
20,0.03,1168,88.1,1063869.0,544647.72,447215.62,97432.09,1.2179,1.96
