rank,max_trading_hour,min_trading_hour,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
1,13,6,29,100.0,2547036.0,2547036.0,0.0,2547036.0,inf,17.59
2,14,6,29,100.0,2547036.0,2547036.0,0.0,2547036.0,inf,17.59
3,13,7,24,100.0,2392118.0,2392118.0,0.0,2392118.0,inf,19.97
4,14,7,24,100.0,2392118.0,2392118.0,0.0,2392118.0,inf,19.97
5,12,6,26,100.0,2329479.0,2329479.0,0.0,2329479.0,inf,17.95
6,11,6,23,100.0,2234439.0,2234439.0,0.0,2234439.0,inf,19.46
7,10,6,22,100.0,2210949.0,2210949.0,0.0,2210949.0,inf,20.13
8,12,7,21,100.0,2174561.0,2174561.0,0.0,2174561.0,inf,20.74
9,11,7,18,100.0,2079521.0,2079521.0,0.0,2079521.0,inf,23.14
10,10,7,17,100.0,2056031.0,2056031.0,0.0,2056031.0,inf,24.22
11,13,8,17,100.0,1203543.0,1203543.0,0.0,1203543.0,inf,14.18
12,14,8,17,100.0,1203543.0,1203543.0,0.0,1203543.0,inf,14.18
13,12,8,14,100.0,985986.0,985986.0,0.0,985986.0,inf,14.11
14,11,8,11,100.0,890946.0,890946.0,0.0,890946.0,inf,16.23
15,10,8,10,100.0,867456.0,867456.0,0.0,867456.0,inf,17.38
16,13,9,10,100.0,445390.0,445390.0,0.0,445390.0,inf,8.92
17,14,9,10,100.0,445390.0,445390.0,0.0,445390.0,inf,8.92
18,13,10,7,100.0,336087.0,336087.0,0.0,336087.0,inf,9.62
19,14,10,7,100.0,336087.0,336087.0,0.0,336087.0,inf,9.62
20,12,9,7,100.0,227833.0,227833.0,0.0,227833.0,inf,6.52
21,11,9,4,100.0,132793.0,132793.0,0.0,132793.0,inf,6.65
22,12,10,4,100.0,118530.0,118530.0,0.0,118530.0,inf,5.94
23,10,9,3,100.0,109303.0,109303.0,0.0,109303.0,inf,7.3
24,11,10,1,100.0,23490.0,23490.0,0.0,23490.0,inf,4.71
